AAE     10   42
AAM      1   28
ABKT    15    8
ABQ      1    6
ADK     10   34
AFI     10   30
ALQ      1    5
ANTO    10   15
ARU     15   29
ASCN    10   43
BDFB    10   25
BGCA    10   39
BGIO    10   57
BINY     1   23
BJT     15   77
BKS     10    2
BLA      1   29
BMN     15   83
BMN%   115   83
BOCO    10   69
BORG    10   44
BOSA    10   23
BW06     1   11
CBKS     1   32
CBM      1   17
CCM      5    4
CEH      1    3
CHTO    10   18
CMB      5    6
CMB%    15   96
CMB2    15  126
CMLA    10   68
COCO    10   70
COLA    10   16
COR      5   11
CPUP    10   37
CTAO    10    5
CWC     15   86
DAC     15   80
DAV     10   52
DBIC    10   41
DPC     10   14
DRLN    10   71
DSB     10   58
DUG      1   21
EDIT     1   -2
EFI     10   67
ELK     14    1
ELK2    14    1
ESK     10   35
EYMN     1   33
FFC     10   31
FIA0    15    1
GLD      1    4
GLDTS    1  126
GNI     15   72
GOGA     1   19
GOL      1    1
GRFO    10   46
GUMO    10   17
GWDE     1    8
HIA     15   70
HKT     16   12
HNR     10   33
HOPS    15   99
HRV      5    1
HWUT     1   35
INCN    10   54
INK     10   74
ISA      5    3
ISCO     1   13
JFWS     1   14
JTS     10   29
KBS     10   59
KEV     10   26
KIEV    10   47
KIP     10    4
KIV     15   22
KMBO    10   60
KMI     10   76
KNB     14    3
KONO    10   10
LBNH     1   26
LBTB    10   24
LDS     15   81
LKWY     1  100
LLL     12   17
LLLTS   14   99
LPAZ    10   28
LSA     10   55
LSCT     1   24
LSZ     10   48
LTX      1   20
LVC     15   75
MA2     10   65
MAJO    10    9
MBC     10   77
MCWV     1    2
MDJ     10   78
MIAR     1   15
MNV     14    2
MSEY    10   49
MTPC    15   85
MYNC     1   22
NAI     10   13
NEW      1   12
NIL     10   79
NNA     10   80
NWAO    10    6
OBN     15   21
OXF      1   27
PAB     10   11
PAL     15   70
PAS     15   89
PDY     15    6
PET     10   53
PFO     15    5
PHBLA   17    6
PHGLD   17  123
PHMEM   17   -1
PHMLO   17    2
PHSEA   17   14
PHSLC   17    8
PHUNR   17    0
PLCA    10   40
PMG     10   32
PNT     10   81
PTGA    10   82
RAR     10    8
REFTK   12    2
RES     10   83
RPN     10   66
RSCP     1   18
RSNY     1    9
RSSD     1   10
SADO    10   56
SAO      5    8
SAO%    15   98
SBA     10   38
SDV     10   63
SFJ     10   84
SHEL    10   51
SJG     10   27
SMTC     5   10
SNCC    15   87
SNZO    10    7
SPA     10   86
SSE     10   87
SSPA     1   36
SUR     15    9
TATO    10   12
TAU     15   45
TBT     10   20
TPH     15   82
TPH%   115   82
TPNV     1    7
TSTIR    5   99
TSTUT   15  127
TSUM    10   61
TUC      5    2
ULN     10   91
VLDTS   15    4
VNDA    10   36
VPBLA   18    6
VPFSU   18   52
VPMEM   18   24
VPMLO   18   38
VPMLO   18   40
VPSLC   18   42
VPUCS   18   50
VPUNC   18   44
VPUNR   18   46
VTV     15   88
WALA    10   19
WCI      1   34
WDC      5    7
WDC%    15   97
WMOK     1   16
WMQ     10   92
WRAB    10   50
WVOR     1   31
WVT      1  101
XAN     10   64
YBH     15   95
YMT0     7    3
YSNY     1   25
YSS     10   62
