61.200443 -149.902106 ANCHORAGE, AK.
64.801562 -147.701948 FAIRBANKS, AK.
58.299415 -134.397868 JUNEAU, AK.
64.499185 -165.400614 NOME, AK.
51.902777 -176.699342 ADAK, AK.
34.057882 -118.251918 LOS ANGELES, CA.
45.536896 -122.617856 PORTLAND, OR.
53.018130 158.652013 PETROPAVLOVSK, KAMCHATKA.
37.778535 -122.417321 SAN FRANCISCO, CA.
47.598830 -122.331377 SEATTLE, WA.
51.502325 178.997745 AMCHITKA, AK.
52.303193 -172.001088 AMUKTA PASS, AK.
68.098135 -145.501790 ARCTIC VILLAGE, AK.
52.200232 -174.201246 ATKA VILLAGE, AK.
52.903748 173.199412 ATTU IS, AK.
35.373094 -119.019681 BAKERSFIELD, CA.
34.896446 -117.020058 BARSTOW, CA.
70.099151 -143.696973 BARTER IS, AK.
55.002190 165.997332 BERING IS., KOMANDORSKY.
60.800797 -161.802440 BETHEL, AK.
66.900635 -151.701194 BETTLES, AK.
43.611521 -116.217917 BOISE, ID.
52.303193 175.898043 BULDIR IS, AK.
61.303204 -138.998719 BURWASH LANDING, YT.
58.699267 -162.197780 CAPE NEWENHAM, AK.
60.087063 -142.402089 CAPE YAKATAGA, AK.
56.299647 -158.399070 CHIGNIK, AK.
40.756239 -111.880627 SALT LAKE CITY, UT.
55.202263 -162.701983 COLD BAY, AK.
60.498186 -145.799728 CORDOVA, AK.
64.099793 -139.302387 DAWSON CITY, YT.
63.700372 -148.899430 DENALI PARK HDQTS., AK.
59.001989 -158.502203 DILLINGHAM, AK.
54.499112 -132.999851 DIXON ENTRANCE, AK.
53.898773 -166.500693 DUTCH HARBOR, AK.
32.794004 -115.559016 EL CENTRO, CA.
44.081485 -123.070493 EUGENE, OR.
40.784916 -124.159112 EUREKA, CA.
66.598370 -145.301255 FORT YUKON, AK.
36.733849 -119.781715 FRESNO, CA.
50.203461 -127.201518 PORT ALICE, VANCOUVER IS.
53.241166 -131.842476 SANDSPIT, QUEEN CHARLOTTE IS.
59.201889 -135.400544 HAINES, AK.
62.199418 -159.802817 HOLY CROSS, AK.
59.601665 -151.500658 HOMER, AK.
59.801541 -154.898298 ILIAMNA, AK.
55.299438 -131.601834 KETCHIKAN, AK.
58.699267 -156.697386 KING SALMON, AK.
42.224253 -121.769878 KLAMATH FALLS, OR.
66.900635 -156.897921 KOBUK, AK.
57.802410 -152.407200 KODIAK CITY, AK.
66.900635 -162.598851 KOTZEBUE, AK.
63.900086 -152.297070 LAKE MINCHUMINA, AK.
61.400254 -155.499904 LIME VILLAGE, AK.
36.171225 -115.146486 LAS VEGAS, NV.
61.400254 -142.900562 McCARTHY, AK.
62.998459 -155.597307 McGRATH, AK.
36.619034 -121.913118 MONTEREY, CA.
34.844758 -114.613636 NEEDLES, CA.
52.903748 -168.901387 NIKOLSKI, AK.
60.001408 -166.002220 NUNIVAK IS, AK.
67.566660 -139.800000 OLD CROW, YT.
61.600057 -149.099965 PALMER, AK.
69.802744 -162.999921 POINT LAY, AK.
57.130000 -170.280000 PRIBILOF IS, AK.
70.401245 -148.400957 PRUDHOE BAY, AK.
39.522948 -119.804633 RENO, NV.
38.639352 -121.489129 SACRAMENTO, CA.
60.401119 -172.700097 ST MATTHEW IS, AK.
32.713563 -117.151839 SAN DIEGO, CA.
55.299438 -160.501825 SAND POINT, AK.
60.098484 -149.397903 SEWARD, AK.
52.697852 174.098956 SHEMYA IS, AK.
57.099658 -135.297412 SITKA, AK.
47.673270 -117.403940 SPOKANE, WA.
62.302159 -150.096912 TALKEETNA, AK.
65.200903 -152.102264 TANANA, AK.
63.300921 -142.997965 TOK, AK.
38.071232 -117.226323 TONOPAH, NV.
69.398012 -152.102264 UMIAT, AK.
63.900086 -160.799763 UNALAKLEET, AK.
61.097680 -146.298202 VALDEZ, AK.
60.703735 -135.096877 WHITEHORSE, YT.
67.402473 -150.096912 WISEMAN, AK.
59.601665 -139.697728 YAKUTAT, AK.
